route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,SAB,926D1V72,Estació del Nord,0,9261,SHP_926_V
14,SAB,980D1V0,,0,9801,SHP_980_V
14,SAB,980D1V1,,0,9801,SHP_980_V
14,SAB,980D1V2,,0,9801,SHP_980_V
14,SAB,980D1V3,,0,9801,SHP_980_V
14,SAB,980D1V4,,0,9801,SHP_980_V
14,SAB,980D1V5,,0,9801,SHP_980_V
14,SAB,980D1V6,,0,9801,SHP_980_V
14,SAB,980D1V7,,0,9801,SHP_980_V
14,SAB,980D1V8,,0,9801,SHP_980_V
14,SAB,980D1V9,,0,9801,SHP_980_V
14,SAB,980D1V10,,0,9801,SHP_980_V
14,SAB,980D1V11,,0,9801,SHP_980_V
14,SAB,980D1V12,,0,9801,SHP_980_V
14,SAB,980D1V13,,0,9801,SHP_980_V
14,SAB,980D1V14,,0,9801,SHP_980_V
14,SAB,980D1V15,,0,9801,SHP_980_V
14,SAB,980D1V16,,0,9801,SHP_980_V
14,SAB,980D1V17,,0,9801,SHP_980_V
14,SAB,980D1V18,,0,9801,SHP_980_V
14,SAB,980D1V19,,0,9801,SHP_980_V
14,SAB,980D1V20,,0,9801,SHP_980_V
14,SAB,980D1V21,,0,9801,SHP_980_V
14,SAB,980D1V22,,0,9801,SHP_980_V
14,SAB,980D1V23,,0,9801,SHP_980_V
14,SAB,980D1V24,,0,9801,SHP_980_V
14,SAB,980D1V25,,0,9801,SHP_980_V
14,SAB,980D1V26,,0,9801,SHP_980_V
14,SAB,980D1V27,,0,9801,SHP_980_V
14,SAB,980D1V28,,0,9801,SHP_980_V
14,SAB,980D1V29,,0,9801,SHP_980_V
14,SAB,980D1V30,,0,9801,SHP_980_V
14,SAB,980D1V31,,0,9801,SHP_980_V
14,SAB,980D1V32,,0,9801,SHP_980_V
14,SAB,980D1V33,,0,9801,SHP_980_V
14,SAB,980D1V34,,0,9801,SHP_980_V
14,SAB,980D1V35,,0,9801,SHP_980_V
14,SAB,980D1V36,,0,9801,SHP_980_V
14,SAB,980D1V37,,0,9801,SHP_980_V
14,SAB,980D1V38,,0,9801,SHP_980_V
14,SAB,980D1V39,,0,9801,SHP_980_V
14,SAB,980D1V40,,0,9801,SHP_980_V
14,SAB,980D1V41,,0,9801,SHP_980_V
14,SAB,980D1V42,,0,9801,SHP_980_V
14,SAB,980D1V43,,0,9801,SHP_980_V
14,SAB,980D1V44,,0,9801,SHP_980_V
14,SAB,980D1V45,,0,9801,SHP_980_V
14,SAB,980D1V46,,0,9801,SHP_980_V
14,SAB,980D1V47,,0,9801,SHP_980_V
14,SAB,980D1V48,,0,9801,SHP_980_V
14,SAB,980D1V49,,0,9801,SHP_980_V
14,SAB,980D1V50,,0,9801,SHP_980_V
14,SAB,980D1V51,,0,9801,SHP_980_V
14,SAB,980D1V52,,0,9801,SHP_980_V
14,SAB,980D1V53,,0,9801,SHP_980_V
14,SAB,980D1V54,,0,9801,SHP_980_V
14,SAB,980D1V55,,0,9801,SHP_980_V
14,SAB,980D1V56,,0,9801,SHP_980_V
14,SAB,980D1V57,,0,9801,SHP_980_V
14,SAB,980D1V58,,0,9801,SHP_980_V
14,SAB,980D1V59,,0,9801,SHP_980_V
14,SAB,980D1V60,,0,9801,SHP_980_V
14,SAB,980D1V61,,0,9801,SHP_980_V
14,SAB,980D1V62,,0,9801,SHP_980_V
14,SAB,980D1V63,,0,9801,SHP_980_V
14,SAB,980D1V64,,0,9801,SHP_980_V
14,SAB,980D1V65,,0,9801,SHP_980_V
14,SAB,980D1V66,,0,9801,SHP_980_V
14,SAB,980D1V67,,0,9801,SHP_980_V
14,SAB,980D1V68,,0,9801,SHP_980_V
14,SAB,980D1V69,,0,9801,SHP_980_V
14,SAB,980D1V70,,0,9801,SHP_980_V
14,SAB,980D1V71,,0,9801,SHP_980_V
14,SAB,980D1V72,,0,9801,SHP_980_V
15,FES,946D2V0,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V1,Pinedo,0,9462,SHP_946_I
15,FES,946D2V2,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V3,Pinedo,0,9462,SHP_946_I
15,FES,946D2V4,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V5,Pinedo,0,9462,SHP_946_I
15,FES,946D2V6,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V7,Pinedo,0,9462,SHP_946_I
15,FES,946D2V8,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V9,Pinedo,0,9462,SHP_946_I
15,FES,946D2V10,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V11,Pinedo,0,9462,SHP_946_I
15,FES,946D2V12,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V13,Pinedo,0,9462,SHP_946_I
15,FES,946D2V14,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V15,Pinedo,0,9462,SHP_946_I
15,FES,946D2V16,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V17,Pinedo,0,9462,SHP_946_I
15,FES,946D2V18,Estació del Nord,0,9462,SHP_946_V
15,FES,946D2V19,Pinedo,0,9462,SHP_946_I
15,LAB,946D0V0,Estació del Nord,0,9460,SHP_946_V
15,LAB,946D0V1,Pinedo,0,9460,SHP_946_I
15,LAB,946D0V2,Estació del Nord,0,9460,SHP_946_V
